DATE1,SYMBOL,SERIES,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
2021-01-01,20MICRONS,EQ,40.2,40.75,40.8,39.8,40.0,40.05,40.16,126229,50.69,803,87881,69.62
2021-01-01,21STCENMGM,EQ,10.45,10.65,10.65,10.45,10.65,10.65,10.62,978,0.1,15,976,99.8
2021-01-01,3IINFOTECH,EQ,6.45,6.75,6.75,6.75,6.75,6.75,6.75,666689,45.0,467,666689,100.0
2021-01-01,3MINDIA,EQ,20830.55,20830.7,21243.95,20830.7,21098.0,21127.6,21040.66,1663,349.91,1079,871,52.38
2021-01-01,3PLAND,EQ,11.35,11.35,11.65,10.8,11.05,11.2,11.04,18637,2.06,88,15734,84.42
2021-01-01,5PAISA,EQ,300.7,307.9,307.9,295.0,302.4,302.15,301.85,10239,30.91,430,5922,57.84
2021-01-01,63MOONS,BE,81.8,81.8,83.0,80.05,81.5,82.1,82.14,32625,26.8,379,0,0.0
2021-01-01,8KMILES,BE,78.75,80.0,80.9,78.6,80.6,80.45,80.22,22243,17.84,276,0,0.0
2021-01-01,A2ZINFRA,EQ,4.85,4.75,5.3,4.75,5.3,5.3,5.19,1764688,91.56,1180,1107511,62.76
2021-01-01,AAATECH,SM,42.25,42.3,42.3,42.3,42.3,42.3,42.3,3000,1.27,1,3000,100.0
2021-01-01,AAKASH,EQ,72.85,74.25,76.5,74.25,74.3,75.3,74.78,45460,34.0,418,17189,37.81
2021-01-01,AARON,EQ,50.6,52.9,52.9,50.4,52.8,51.85,52.56,10752,5.65,70,8157,75.86
2021-01-01,AARTIDRUGS,EQ,705.15,710.0,747.5,708.5,735.5,735.0,734.72,1450044,10653.7,51287,366777,25.29
2021-01-01,AARTIIND,EQ,1234.8,1244.0,1275.0,1242.1,1260.0,1260.5,1261.62,406198,5124.66,18336,125007,30.77
2021-01-01,AARTISURF,EQ,1029.65,1030.0,1060.2,1009.0,1024.0,1025.6,1031.45,17725,182.82,1872,8032,45.31
2021-01-01,AARVEEDEN,BE,18.2,18.2,18.85,17.45,18.0,18.0,18.2,15006,2.73,81,0,0.0
2021-01-01,AARVI,EQ,49.25,50.5,51.9,46.25,50.0,50.3,49.54,106231,52.63,889,55013,51.79
2021-01-01,AAVAS,EQ,1695.55,1703.0,1736.45,1685.15,1720.0,1720.65,1713.34,18196,311.76,3250,6762,37.16
2021-01-01,ABAN,BE,28.6,28.9,29.35,28.5,28.6,28.9,28.83,37768,10.89,319,0,0.0
2021-01-01,ABB,EQ,1212.05,1212.0,1238.5,1212.0,1236.05,1232.7,1229.88,95451,1173.94,4304,53210,55.75
2021-01-01,ABBOTINDIA,EQ,15769.1,15800.0,15856.3,15698.0,15750.0,15746.0,15769.49,22888,3609.32,4078,18123,79.18
2021-01-01,ABCAPITAL,EQ,85.0,85.0,89.8,84.8,88.8,89.1,87.91,4001702,3517.84,21101,1271306,31.77
2021-01-01,ABFRL,EQ,165.6,166.65,168.8,165.9,166.7,166.5,167.19,1109915,1855.67,10217,347671,31.32
2021-01-01,ABINFRA,SM,5.7,5.95,5.95,5.95,5.95,5.95,5.95,28000,1.67,6,28000,100.0
2021-01-01,ABMINTLTD,BE,23.75,23.75,24.9,23.75,24.9,24.9,24.21,492,0.12,11,0,0.0
2021-01-01,ABSLBANETF,EQ,308.97,305.7,319.62,305.7,312.28,312.28,313.12,119,0.37,20,91,76.47
2021-01-01,ABSLNN50ET,EQ,309.33,318.6,318.6,308.16,317.63,313.81,316.01,34,0.11,11,23,67.65
2021-01-01,ACC,EQ,1617.65,1617.2,1632.0,1615.65,1626.0,1626.1,1625.61,647892,10532.17,19780,96651,14.92
2021-01-01,ACCELYA,EQ,945.75,963.65,968.0,947.9,960.0,958.85,957.69,4158,39.82,649,2206,53.05
2021-01-01,ACCURACY,EQ,36.8,36.05,37.75,35.85,36.8,36.8,36.4,5092,1.85,95,2914,57.23
2021-01-01,ACE,EQ,135.95,136.85,144.9,136.2,143.2,142.75,142.46,907253,1292.5,9401,376679,41.52
2021-01-01,ADANIENT,EQ,479.55,477.0,493.25,477.0,489.0,491.15,488.66,5035248,24605.06,46645,601796,11.95
2021-01-01,ADANIGAS,EQ,375.6,377.4,379.8,374.1,376.0,376.8,376.44,785857,2958.32,11633,392408,49.93
